Country,Season,Islander,Age,Hometown,Day Entered,Day Left,Status
US,1,"Raymond ""Ray"" Gantt",23,"Hillside, New Jersey",15,30,Third place
US,1,Emily Salch,21,"Groton, New York",21,30,Fourth place
US,1,Weston Richey,25,"Dallas, Texas",1,30,Fourth place
US,1,Kyra Green,22,"Harlem, New York[14]",1,27,Dumped
US,1,Jered Youngblood,27,"Lakeland, Florida",21,27,Dumped
US,1,Aissata Diallo,25,"Highbridge, New York[15]",15,25,Dumped
US,1,Yamen Sanders,24,"Inglewood, California[16]",1,25,Dumped
US,1,Anton Morrow,23,"Boiling Springs, Pennsylvania[17]",21,23,Dumped
US,1,Eric Hall,27,"Toronto, Ontario",15,23,Dumped
US,1,Kelsey Jurewicz,25,"Newark, Delaware",15,23,Walked
US,1,Katrina Dimaranan,26,"San Juan, Philippines[18]",9,20,Dumped
US,1,Cashel Barnett,28,"Sacramento, California",1,20,Dumped
US,1,Winston Hines,29,"Lexington, Kentucky",11,18,Dumped
US,1,"Marlisse ""Marli"" Tyndall",20,"Miami, Florida",15,18,Dumped
US,1,George Johnson,30,"Beverly Hills, California",15,18,Dumped
US,1,Christen McAllister,24,"Louisville, Kentucky[19]",9,13,Dumped
US,1,Cormac Murphy,26,"Ennis, Ireland[20]",4,13,Dumped
US,1,Alana Morrison,21,"New Haven, Connecticut",1,11,Dumped
US,1,Mallory Santic,26,"Vancouver, Washington",1,11,Dumped
US,1,Michael Yi,29,"Miami, Florida",1,6,Dumped
US,2,Caleb Corprew,24,"Oklahoma City, Oklahoma",5,40,Winner
US,2,Justine Ndiba,27,"Rockaway, New Jersey",1,40,Winner
US,2,Cely Vazquez,24,"Sacramento, California",1,40,Runner-up
US,2,Johnny Middlebrooks,22,"Chesapeake, Virginia",1,40,Runner-up
US,2,Calvin Cobb,25,"Houston, Texas",5,40,Third place
US,2,Moira Tumas,28,"Brielle, New Jersey",1,40,Third place
US,2,Carrington Rodriguez,23,"Salt Lake City, Utah",1,40,Fourth place
US,2,Laurel Goldman,22,"Auburn, Alabama",16,40,Fourth place
US,2,Bennett Sipes,26,"Baltimore, Maryland",26,37,Dumped
US,2,Lakeyn Call,21,"Yorktown, Virginia",30,37,Dumped
US,2,Julia Hall,26,"Fayetteville, North Carolina",30,33,Dumped
US,2,Kierstan Saulter,23,"Castroville, Texas",2,33,Dumped
US,2,Bennie Bivens,24,"Barnegat, New Jersey",26,29,Dumped
US,2,Connor Trott,23,"Pittsburgh, Pennsylvania",1,29,Dumped
US,2,Noah Purvis,24,"Imperial, Missouri",26,28,Removed
US,2,Aaron Owen,26,"Henderson, Nevada",16,25,Dumped
US,2,Jalen Noble,27,"Nashville, Tennessee",16,25,Dumped
US,2,Mackenzie Dipman,24,"Scottsdale, Arizona",1,25,Dumped
