Country,Season,Islander,Age,Hometown,Day Entered,Day Left,Status
UK,8,Jay Younger,28,Edinburgh,Day 9,Dumped (Day 35),
UK,8,Cheyanne Kerr,23,Barnsley,Day 27,Dumped (Day 31),
UK,8,George Tasker,23,Cirencester,Day 26,Dumped (Day 31),
UK,8,Jack Keating,23,Dublin,Day 26,Dumped (Day 31),
UK,8,Jazmine Nichol,21,Newcastle,Day 27,Dumped (Day 31),
UK,8,Mollie Salmon,23,Southampton,Day 27,Dumped (Day 31),
UK,8,Samuel Agbiji,22,Manchester,Day 26,Dumped (Day 31),
UK,8,Antigoni Buxton,26,London,Day 17,Dumped (Day 25),
UK,8,Charlie Radnedge,28,London,Day 17,Dumped (Day 25),
UK,8,Amber Beckford,24,London,Day 1,Dumped (Day 15),
UK,8,Ikenna Ekwonna,23,Nottingham,Day 1,Dumped (Day 15),
UK,8,Remi Lambert,22,Manchester,Day 9,Dumped (Day 12),
UK,8,Afia Tonkmor,25,London,Day 3,Dumped (Day 8),
UK,8,Liam Llewellyn,22,Newport,Day 1,Walked (Day 5),
UK,9,Kai Fagan,24,Manchester,Day 1,Winner (Day 58),
UK,9,Sanam Harrinanan,24,Bedford,Day 29,Winner (Day 58),
UK,9,Lana Jenkins,25,Luton,Day 1,Runner-up (Day 58),
UK,9,Ron Hall,25,Essex,Day 1,Runner-up (Day 58),
UK,9,Samie Elishi,23,London,Day 14,Third place (Day 58),
UK,9,Tom Clare,23,Barnsley,Day 1,Third place (Day 58),
UK,9,Shaq Muhammad,24,London,Day 1,Fourth place (Day 58),
UK,9,Tanya Manhenga,23,Liverpool,Day 1,Fourth place (Day 58),
UK,9,Jessie Wynter,26,"Hobart, Australia",Day 7,Dumped (Day 56),
UK,9,Will Young,23,Aylesbury,Day 1,Dumped (Day 56),
UK,9,Casey O'Gorman,26,Tring,Day 17,Dumped (Day 51),
UK,9,Rosie Seabrook,24,Bledlow Ridge,Day 39,Dumped (Day 51),
UK,9,Claudia Fogarty,28,Blackburn,Day 23,Dumped (Day 45),
UK,9,Keanan Brand,24,Wigan,Day 39,Dumped (Day 45),
UK,9,Maxwell Samuda,23,London,Day 28,Dumped (Day 45),
UK,9,Olivia Hawkins,27,Brighton,Day 1,Dumped (Day 45),
UK,9,Martin Akinola,27,Dublin,Day 28,Dumped (Day 40),
UK,9,Bayley Mummery,25,Addlestone,Day 28,Dumped (Day 32),
UK,9,Cynthia Otseh-Taiwo,25,London,Day 29,Dumped (Day 32),
UK,9,Frankie Davey,22,Ipswich,Day 28,Dumped (Day 32),
UK,9,Kain Reed,21,Gateshead,Day 28,Dumped (Day 32),
UK,9,Layla Al-Momani,28,London,Day 29,Dumped (Day 32),
UK,9,Lydia Karakyriakou,22,Glasgow,Day 29,Dumped (Day 32),
UK,9,Lynda Flix,22,Salford,Day 29,Dumped (Day 32),
UK,9,Ryan Weekley,22,Nottingham,Day 28,Dumped (Day 32),
UK,9,Sammy James,27,Leicester,Day 29,Dumped (Day 32),
